"Statistic Label","Year","Country of Residence","Type of Vehicle","UNIT","VALUE"
"Injury Collisions","2015","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","11"
"Injury Collisions","2015","All countries","Cars","Number","6184"
"Injury Collisions","2015","All countries","Goods vehicles","Number","871"
"Injury Collisions","2016","Ireland","Cars","Number","6081"
"Injury Collisions","2016","Ireland","Goods vehicles","Number","818"
"Injury Collisions","2016","Northern Ireland","Cars","Number","105"
"Injury Collisions","2016","Northern Ireland","Goods vehicles","Number","14"
"Injury Collisions","2016","Great Britain","Cars","Number","34"
"Injury Collisions","2016","Great Britain","Goods vehicles","Number","2"
"Injury Collisions","2016","All countries excluding Ireland and United Kingdom","Cars","Number","73"
"Injury Collisions","2016","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","5"
"Injury Collisions","2016","All countries","Cars","Number","6293"
"Injury Collisions","2016","All countries","Goods vehicles","Number","839"
"Injury Collisions","2017","Ireland","Cars","Number","6520"
"Injury Collisions","2017","Ireland","Goods vehicles","Number","895"
"Injury Collisions","2017","Northern Ireland","Cars","Number","103"
"Injury Collisions","2017","Northern Ireland","Goods vehicles","Number","29"
"Injury Collisions","2017","Great Britain","Cars","Number","36"
"Injury Collisions","2017","Great Britain","Goods vehicles","Number","1"
"Injury Collisions","2017","All countries excluding Ireland and United Kingdom","Cars","Number","107"
"Injury Collisions","2017","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","5"
"Injury Collisions","2017","All countries","Cars","Number","6766"
"Injury Collisions","2017","All countries","Goods vehicles","Number","930"
"Injury Collisions","2018","Ireland","Cars","Number","6394"
"Injury Collisions","2018","Ireland","Goods vehicles","Number","880"
"Injury Collisions","2018","Northern Ireland","Cars","Number","108"
"Injury Collisions","2018","Northern Ireland","Goods vehicles","Number","15"
"Injury Collisions","2018","Great Britain","Cars","Number","36"
"Injury Collisions","2018","Great Britain","Goods vehicles","Number","3"
"Injury Collisions","2018","All countries excluding Ireland and United Kingdom","Cars","Number","93"
"Injury Collisions","2018","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","5"
"Injury Collisions","2018","All countries","Cars","Number","6631"
"Injury Collisions","2018","All countries","Goods vehicles","Number","903"
"Injury Collisions","2019","Ireland","Cars","Number","6168"
"Injury Collisions","2019","Ireland","Goods vehicles","Number","798"
"Injury Collisions","2019","Northern Ireland","Cars","Number","89"
"Injury Collisions","2019","Northern Ireland","Goods vehicles","Number","22"
"Injury Collisions","2019","Great Britain","Cars","Number","28"
"Injury Collisions","2019","Great Britain","Goods vehicles","Number","4"
"Injury Collisions","2019","All countries excluding Ireland and United Kingdom","Cars","Number","126"
"Injury Collisions","2019","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","9"
"Injury Collisions","2019","All countries","Cars","Number","6411"
"Injury Collisions","2019","All countries","Goods vehicles","Number","833"
"Injury Collisions","2020","Ireland","Cars","Number","4458"
"Injury Collisions","2020","Ireland","Goods vehicles","Number","724"
"Injury Collisions","2020","Northern Ireland","Cars","Number","57"
"Injury Collisions","2020","Northern Ireland","Goods vehicles","Number","29"
"Injury Collisions","2020","Great Britain","Cars","Number","8"
"Injury Collisions","2020","Great Britain","Goods vehicles","Number","2"
"Injury Collisions","2020","All countries excluding Ireland and United Kingdom","Cars","Number","37"
"Injury Collisions","2020","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","12"
"Injury Collisions","2020","All countries","Cars","Number","4560"
"Injury Collisions","2020","All countries","Goods vehicles","Number","767"
"Injury Collisions","2021","Ireland","Cars","Number","5105"
"Injury Collisions","2021","Ireland","Goods vehicles","Number","755"
"Injury Collisions","2021","Northern Ireland","Cars","Number","78"
"Injury Collisions","2021","Northern Ireland","Goods vehicles","Number","29"
"Injury Collisions","2021","Great Britain","Cars","Number","9"
"Injury Collisions","2021","Great Britain","Goods vehicles","Number","2"
"Injury Collisions","2021","All countries excluding Ireland and United Kingdom","Cars","Number","37"
"Injury Collisions","2021","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","10"
"Injury Collisions","2021","All countries","Cars","Number","5229"
"Injury Collisions","2021","All countries","Goods vehicles","Number","796"
"Injury Collisions","2022","Ireland","Cars","Number","5905"
"Injury Collisions","2022","Ireland","Goods vehicles","Number","829"
"Injury Collisions","2022","Northern Ireland","Cars","Number","87"
"Injury Collisions","2022","Northern Ireland","Goods vehicles","Number","32"
"Injury Collisions","2022","Great Britain","Cars","Number","23"
"Injury Collisions","2022","Great Britain","Goods vehicles","Number","7"
"Injury Collisions","2022","All countries excluding Ireland and United Kingdom","Cars","Number","112"
"Injury Collisions","2022","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","13"
"Injury Collisions","2022","All countries","Cars","Number","6127"
"Injury Collisions","2022","All countries","Goods vehicles","Number","881"
"All Fatal and Injury Collisions","2005","Ireland","Cars","Number","5961"
"All Fatal and Injury Collisions","2005","Ireland","Goods vehicles","Number","1052"
"All Fatal and Injury Collisions","2005","Northern Ireland","Cars","Number","122"
"All Fatal and Injury Collisions","2005","Northern Ireland","Goods vehicles","Number","49"
"All Fatal and Injury Collisions","2005","Great Britain","Cars","Number","75"
"All Fatal and Injury Collisions","2005","Great Britain","Goods vehicles","Number","16"
"All Fatal and Injury Collisions","2005","All countries excluding Ireland and United Kingdom","Cars","Number","205"
"All Fatal and Injury Collisions","2005","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","42"
"All Fatal and Injury Collisions","2005","All countries","Cars","Number","6363"
"All Fatal and Injury Collisions","2005","All countries","Goods vehicles","Number","1159"
"All Fatal and Injury Collisions","2006","Ireland","Cars","Number","5506"
"All Fatal and Injury Collisions","2006","Ireland","Goods vehicles","Number","1008"
"All Fatal and Injury Collisions","2006","Northern Ireland","Cars","Number","113"
"All Fatal and Injury Collisions","2006","Northern Ireland","Goods vehicles","Number","37"
"All Fatal and Injury Collisions","2006","Great Britain","Cars","Number","52"
"All Fatal and Injury Collisions","2006","Great Britain","Goods vehicles","Number","9"
"All Fatal and Injury Collisions","2006","All countries excluding Ireland and United Kingdom","Cars","Number","175"
"All Fatal and Injury Collisions","2006","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","51"
"All Fatal and Injury Collisions","2006","All countries","Cars","Number","5846"
"All Fatal and Injury Collisions","2006","All countries","Goods vehicles","Number","1105"
"All Fatal and Injury Collisions","2007","Ireland","Cars","Number","4698"
"All Fatal and Injury Collisions","2007","Ireland","Goods vehicles","Number","864"
"All Fatal and Injury Collisions","2007","Northern Ireland","Cars","Number","92"
"All Fatal and Injury Collisions","2007","Northern Ireland","Goods vehicles","Number","27"
"All Fatal and Injury Collisions","2007","Great Britain","Cars","Number","47"
"All Fatal and Injury Collisions","2007","Great Britain","Goods vehicles","Number","12"
"All Fatal and Injury Collisions","2007","All countries excluding Ireland and United Kingdom","Cars","Number","136"
"All Fatal and Injury Collisions","2007","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","22"
"All Fatal and Injury Collisions","2007","All countries","Cars","Number","4973"
"All Fatal and Injury Collisions","2007","All countries","Goods vehicles","Number","925"
"All Fatal and Injury Collisions","2008","Ireland","Cars","Number","5726"
"All Fatal and Injury Collisions","2008","Ireland","Goods vehicles","Number","907"
"All Fatal and Injury Collisions","2008","Northern Ireland","Cars","Number","77"
"All Fatal and Injury Collisions","2008","Northern Ireland","Goods vehicles","Number","22"
"All Fatal and Injury Collisions","2008","Great Britain","Cars","Number","43"
"All Fatal and Injury Collisions","2008","Great Britain","Goods vehicles","Number","6"
"All Fatal and Injury Collisions","2008","All countries excluding Ireland and United Kingdom","Cars","Number","122"
"All Fatal and Injury Collisions","2008","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","30"
"All Fatal and Injury Collisions","2008","All countries","Cars","Number","5968"
"All Fatal and Injury Collisions","2008","All countries","Goods vehicles","Number","965"
"All Fatal and Injury Collisions","2009","Ireland","Cars","Number","5892"
"All Fatal and Injury Collisions","2009","Ireland","Goods vehicles","Number","812"
"All Fatal and Injury Collisions","2009","Northern Ireland","Cars","Number","68"
"All Fatal and Injury Collisions","2009","Northern Ireland","Goods vehicles","Number","23"
"All Fatal and Injury Collisions","2009","Great Britain","Cars","Number","54"
"All Fatal and Injury Collisions","2009","Great Britain","Goods vehicles","Number","14"
"All Fatal and Injury Collisions","2009","All countries excluding Ireland and United Kingdom","Cars","Number","102"
"All Fatal and Injury Collisions","2009","All countries excluding Ireland and United Kingdom","Goods vehicles","Number","16"
"All Fatal and Injury Collisions","2009","All countries","Cars","Number","6116"
"All Fatal and Injury Collisions","2009","All countries","Goods vehicles","Number","865"
"All Fatal and Injury Collisions","2010","Ireland","Cars","Number","5055"
"All Fatal and Injury Collisions","2010","Ireland","Goods vehicles","Number","733"
"All Fatal and Injury Collisions","2010","Northern Ireland","Cars","Number","66"
"All Fatal and Injury Collisions","2010","Northern Ireland","Goods vehicles","Number","19"
