"Statistic Label","Year","Day of Week","UNIT","VALUE"
"Injury Collisions","2008","Monday","Number","920"
"Injury Collisions","2008","Tuesday","Number","963"
"Injury Collisions","2008","Wednesday","Number","892"
"Injury Collisions","2008","Thursday","Number","923"
"Injury Collisions","2008","Friday","Number","978"
"Injury Collisions","2008","Saturday","Number","915"
"Injury Collisions","2009","All days","Number","6395"
"Injury Collisions","2009","Sunday","Number","922"
"Injury Collisions","2009","Monday","Number","977"
"Injury Collisions","2009","Tuesday","Number","807"
"Injury Collisions","2009","Wednesday","Number","874"
"Injury Collisions","2009","Thursday","Number","907"
"Injury Collisions","2009","Friday","Number","1018"
"Injury Collisions","2009","Saturday","Number","890"
"Injury Collisions","2010","All days","Number","5595"
"Injury Collisions","2010","Sunday","Number","796"
"Injury Collisions","2010","Monday","Number","754"
"Injury Collisions","2010","Tuesday","Number","728"
"Injury Collisions","2010","Wednesday","Number","749"
"Injury Collisions","2010","Thursday","Number","761"
"Injury Collisions","2010","Friday","Number","986"
"Injury Collisions","2010","Saturday","Number","821"
"Injury Collisions","2011","All days","Number","5058"
"Injury Collisions","2011","Sunday","Number","689"
"Injury Collisions","2011","Monday","Number","696"
"Injury Collisions","2011","Tuesday","Number","747"
"Injury Collisions","2011","Wednesday","Number","736"
"Injury Collisions","2011","Thursday","Number","692"
"Injury Collisions","2011","Friday","Number","781"
"Injury Collisions","2011","Saturday","Number","717"
"Injury Collisions","2012","All days","Number","5458"
"Injury Collisions","2012","Sunday","Number","768"
"Injury Collisions","2012","Monday","Number","765"
"Injury Collisions","2012","Tuesday","Number","776"
"Injury Collisions","2012","Wednesday","Number","754"
"Injury Collisions","2012","Thursday","Number","788"
"Injury Collisions","2012","Friday","Number","900"
"Injury Collisions","2012","Saturday","Number","707"
"Injury Collisions","2013","All days","Number","4797"
"Injury Collisions","2013","Sunday","Number","573"
"Injury Collisions","2013","Monday","Number","685"
"Injury Collisions","2013","Tuesday","Number","683"
"Injury Collisions","2013","Wednesday","Number","720"
"Injury Collisions","2013","Thursday","Number","720"
"Injury Collisions","2013","Friday","Number","748"
"Injury Collisions","2013","Saturday","Number","668"
"Injury Collisions","2014","All days","Number","5618"
"Injury Collisions","2014","Sunday","Number","666"
"Injury Collisions","2014","Monday","Number","841"
"Injury Collisions","2014","Tuesday","Number","799"
"Injury Collisions","2014","Wednesday","Number","765"
