"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"2002 Population","0 - 4 years","Both sexes","Galway","2002","Number","14184"
"2002 Population","0 - 4 years","Both sexes","Galway City","2002","Number","3740"
"2002 Population","0 - 4 years","Both sexes","Galway County","2002","Number","10444"
"2002 Population","0 - 4 years","Both sexes","Leitrim","2002","Number","1683"
"2002 Population","0 - 4 years","Both sexes","Mayo","2002","Number","7760"
"2002 Population","0 - 4 years","Both sexes","Roscommon","2002","Number","3489"
"2002 Population","0 - 4 years","Both sexes","Sligo","2002","Number","3841"
"2002 Population","0 - 4 years","Both sexes","Ulster (part of)","2002","Number","18287"
"2002 Population","0 - 4 years","Both sexes","Cavan","2002","Number","4189"
"2002 Population","0 - 4 years","Both sexes","Donegal","2002","Number","10427"
"2002 Population","0 - 4 years","Both sexes","Monaghan","2002","Number","3671"
"2002 Population","0 - 4 years","Male","State","2002","Number","142040"
"2002 Population","0 - 4 years","Male","Leinster","2002","Number","77929"
"2002 Population","0 - 4 years","Male","Carlow","2002","Number","1835"
"2002 Population","0 - 4 years","Male","Dublin","2002","Number","37928"
"2002 Population","0 - 4 years","Male","Dublin City","2002","Number","14546"
"2002 Population","0 - 4 years","Male","Dún Laoghaire-Rathdown","2002","Number","5953"
"2002 Population","0 - 4 years","Male","Fingal","2002","Number","7941"
"2002 Population","0 - 4 years","Male","South Dublin","2002","Number","9488"
"2002 Population","0 - 4 years","Male","Kildare","2002","Number","7287"
"2002 Population","0 - 4 years","Male","Kilkenny","2002","Number","2970"
"2002 Population","0 - 4 years","Male","Laois","2002","Number","2366"
"2002 Population","0 - 4 years","Male","Longford","2002","Number","1207"
"2002 Population","0 - 4 years","Male","Louth","2002","Number","4306"
"2002 Population","0 - 4 years","Male","Meath","2002","Number","5792"
"2002 Population","0 - 4 years","Male","Offaly","2002","Number","2449"
"2002 Population","0 - 4 years","Male","Westmeath","2002","Number","2856"
"2002 Population","0 - 4 years","Male","Wexford","2002","Number","4481"
"2002 Population","0 - 4 years","Male","Wicklow","2002","Number","4452"
"2002 Population","0 - 4 years","Male","Munster","2002","Number","38941"
"2002 Population","0 - 4 years","Male","Clare","2002","Number","3829"
"2002 Population","0 - 4 years","Male","Cork","2002","Number","15843"
"2002 Population","0 - 4 years","Male","Cork City","2002","Number","3468"
"2002 Population","0 - 4 years","Male","Cork County","2002","Number","12375"
"2002 Population","0 - 4 years","Male","Kerry","2002","Number","4323"
"2002 Population","0 - 4 years","Male","Limerick","2002","Number","6059"
"2002 Population","0 - 4 years","Male","Limerick City","2002","Number","1875"
"2002 Population","0 - 4 years","Male","Limerick County","2002","Number","4184"
