Year,County,Age Range,Gender,Count,Missing
2023,Dublin,Unknown,Non-binary,0,N
2023,Dublin,Unknown,In another way,0,N
2023,Dublin,Unknown,Unknown,0,N
2023,Donegal,Under 18,Male,0,Y
2023,Donegal,Under 18,Female,0,Y
2023,Donegal,Under 18,Non-binary,0,N
2023,Donegal,Under 18,In another way,0,N
2023,Donegal,Under 18,Unknown,0,N
2023,Donegal,18 to 24 years,Male,33,N
2023,Donegal,18 to 24 years,Female,23,N
2023,Donegal,18 to 24 years,Non-binary,0,N
2023,Donegal,18 to 24 years,In another way,0,N
2023,Donegal,18 to 24 years,Unknown,0,N
2023,Donegal,25 to 34 years,Male,68,N
2023,Donegal,25 to 34 years,Female,20,N
2023,Donegal,25 to 34 years,Non-binary,0,Y
2023,Donegal,25 to 34 years,In another way,0,N
2023,Donegal,25 to 34 years,Unknown,0,N
2023,Donegal,35 to 44 years,Male,75,N
2023,Donegal,35 to 44 years,Female,47,N
2023,Donegal,35 to 44 years,Non-binary,0,N
2023,Donegal,35 to 44 years,In another way,0,N
2023,Donegal,35 to 44 years,Unknown,0,N
2023,Donegal,45 to 64 years,Male,137,N
2023,Donegal,45 to 64 years,Female,99,N
2023,Donegal,45 to 64 years,Non-binary,0,N
2023,Donegal,45 to 64 years,In another way,0,N
2023,Donegal,45 to 64 years,Unknown,0,N
2023,Donegal,65 years or over,Male,20,N
2023,Donegal,65 years or over,Female,21,N
2023,Donegal,65 years or over,Non-binary,0,N
2023,Donegal,65 years or over,In another way,0,N
2023,Donegal,65 years or over,Unknown,0,N
2023,Donegal,Unknown,Male,0,Y
2023,Donegal,Unknown,Female,0,Y
2023,Donegal,Unknown,Non-binary,0,N
2023,Donegal,Unknown,In another way,0,N
2023,Donegal,Unknown,Unknown,0,N
2023,Galway,Under 18,Male,0,Y
2023,Galway,Under 18,Female,0,Y
2023,Galway,Under 18,Non-binary,0,N
2023,Galway,Under 18,In another way,0,N
2023,Galway,Under 18,Unknown,0,N
2023,Galway,18 to 24 years,Male,12,N
2023,Galway,18 to 24 years,Female,0,Y
2023,Galway,18 to 24 years,Non-binary,0,N
2023,Galway,18 to 24 years,In another way,0,N
2023,Galway,18 to 24 years,Unknown,0,N
2023,Galway,25 to 34 years,Male,54,N
2023,Galway,25 to 34 years,Female,21,N
2023,Galway,25 to 34 years,Non-binary,0,N
2023,Galway,25 to 34 years,In another way,0,N
2023,Galway,25 to 34 years,Unknown,0,N
2023,Galway,35 to 44 years,Male,72,N
2023,Galway,35 to 44 years,Female,31,N
2023,Galway,35 to 44 years,Non-binary,0,N
2023,Galway,35 to 44 years,In another way,0,N
2023,Galway,35 to 44 years,Unknown,0,N
2023,Galway,45 to 64 years,Male,71,N
2023,Galway,45 to 64 years,Female,36,N
2023,Galway,45 to 64 years,Non-binary,0,N
2023,Galway,45 to 64 years,In another way,0,N
2023,Galway,45 to 64 years,Unknown,0,N
2023,Galway,65 years or over,Male,7,N
2023,Galway,65 years or over,Female,0,Y
2023,Galway,65 years or over,Non-binary,0,N
2023,Galway,65 years or over,In another way,0,N
2023,Galway,65 years or over,Unknown,0,N
2023,Galway,Unknown,Male,0,N
2023,Galway,Unknown,Female,0,N
2023,Galway,Unknown,Non-binary,0,N
2023,Galway,Unknown,In another way,0,N
2023,Galway,Unknown,Unknown,0,N
2023,Kildare,Under 18,Male,0,Y
2023,Kildare,Under 18,Female,0,N
2023,Kildare,Under 18,Non-binary,0,N
2023,Kildare,Under 18,In another way,0,N
2023,Kildare,Under 18,Unknown,0,N
2023,Kildare,18 to 24 years,Male,16,N
2023,Kildare,18 to 24 years,Female,0,Y
2023,Kildare,18 to 24 years,Non-binary,0,N
2023,Kildare,18 to 24 years,In another way,0,N
2023,Kildare,18 to 24 years,Unknown,0,N
2023,Kildare,25 to 34 years,Male,41,N
2023,Kildare,25 to 34 years,Female,18,N
2023,Kildare,25 to 34 years,Non-binary,0,Y
2023,Kildare,25 to 34 years,In another way,0,N
2023,Kildare,25 to 34 years,Unknown,0,N
2023,Kildare,35 to 44 years,Male,37,N
2023,Kildare,35 to 44 years,Female,13,N
2023,Kildare,35 to 44 years,Non-binary,0,N
2023,Kildare,35 to 44 years,In another way,0,N
2023,Kildare,35 to 44 years,Unknown,0,N
2023,Kildare,45 to 64 years,Male,53,N
2023,Kildare,45 to 64 years,Female,45,N
2023,Kildare,45 to 64 years,Non-binary,0,N
2023,Kildare,45 to 64 years,In another way,0,N
2023,Kildare,45 to 64 years,Unknown,0,N
2023,Kildare,65 years or over,Male,9,N
2023,Kildare,65 years or over,Female,0,Y
2023,Kildare,65 years or over,Non-binary,0,N
2023,Kildare,65 years or over,In another way,0,N
2023,Kildare,65 years or over,Unknown,0,N
2023,Kildare,Unknown,Male,0,N
2023,Kildare,Unknown,Female,0,N
2023,Kildare,Unknown,Non-binary,0,N
2023,Kildare,Unknown,In another way,0,N
2023,Kildare,Unknown,Unknown,0,N
2023,Kilkenny,Under 18,Male,0,N
2023,Kilkenny,Under 18,Female,0,N
2023,Kilkenny,Under 18,Non-binary,0,N
2023,Kilkenny,Under 18,In another way,0,N
2023,Kilkenny,Under 18,Unknown,0,N
2023,Kilkenny,18 to 24 years,Male,8,N
2023,Kilkenny,18 to 24 years,Female,10,N
2023,Kilkenny,18 to 24 years,Non-binary,0,N
2023,Kilkenny,18 to 24 years,In another way,0,N
2023,Kilkenny,18 to 24 years,Unknown,0,N
2023,Kilkenny,25 to 34 years,Male,16,N
2023,Kilkenny,25 to 34 years,Female,0,Y
2023,Kilkenny,25 to 34 years,Non-binary,0,N
2023,Kilkenny,25 to 34 years,In another way,0,N
2023,Kilkenny,25 to 34 years,Unknown,0,N
2023,Kilkenny,35 to 44 years,Male,46,N
2023,Kilkenny,35 to 44 years,Female,14,N
2023,Kilkenny,35 to 44 years,Non-binary,0,N
2023,Kilkenny,35 to 44 years,In another way,0,N
2023,Kilkenny,35 to 44 years,Unknown,0,N
2023,Kilkenny,45 to 64 years,Male,38,N
2023,Kilkenny,45 to 64 years,Female,29,N
2023,Kilkenny,45 to 64 years,Non-binary,0,N
2023,Kilkenny,45 to 64 years,In another way,0,N
2023,Kilkenny,45 to 64 years,Unknown,0,N
2023,Kilkenny,65 years or over,Male,0,Y
2023,Kilkenny,65 years or over,Female,0,Y
2023,Kilkenny,65 years or over,Non-binary,0,N
2023,Kilkenny,65 years or over,In another way,0,N
2023,Kilkenny,65 years or over,Unknown,0,N
2023,Kilkenny,Unknown,Male,0,N
2023,Kilkenny,Unknown,Female,0,N
2023,Kilkenny,Unknown,Non-binary,0,N
2023,Kilkenny,Unknown,In another way,0,N
2023,Kilkenny,Unknown,Unknown,0,N
2023,Kerry,Under 18,Male,0,Y
2023,Kerry,Under 18,Female,0,Y
2023,Kerry,Under 18,Non-binary,0,N
2023,Kerry,Under 18,In another way,0,N
2023,Kerry,Under 18,Unknown,0,N
2023,Kerry,18 to 24 years,Male,15,N
2023,Kerry,18 to 24 years,Female,8,N
2023,Kerry,18 to 24 years,Non-binary,0,N
2023,Kerry,18 to 24 years,In another way,0,N
2023,Kerry,18 to 24 years,Unknown,0,N
2023,Kerry,25 to 34 years,Male,44,N
2023,Kerry,25 to 34 years,Female,17,N
2023,Kerry,25 to 34 years,Non-binary,0,N
2023,Kerry,25 to 34 years,In another way,0,N
2023,Kerry,25 to 34 years,Unknown,0,N
2023,Kerry,35 to 44 years,Male,39,N
2023,Kerry,35 to 44 years,Female,31,N
2023,Kerry,35 to 44 years,Non-binary,0,N
2023,Kerry,35 to 44 years,In another way,0,N
2023,Kerry,35 to 44 years,Unknown,0,N
2023,Kerry,45 to 64 years,Male,40,N
2023,Kerry,45 to 64 years,Female,39,N
2023,Kerry,45 to 64 years,Non-binary,0,N
2023,Kerry,45 to 64 years,In another way,0,N
2023,Kerry,45 to 64 years,Unknown,0,N
2023,Kerry,65 years or over,Male,7,N
2023,Kerry,65 years or over,Female,7,N
2023,Kerry,65 years or over,Non-binary,0,N
2023,Kerry,65 years or over,In another way,0,N
2023,Kerry,65 years or over,Unknown,0,N
2023,Kerry,Unknown,Male,0,N
2023,Kerry,Unknown,Female,0,N
2023,Kerry,Unknown,Non-binary,0,N
2023,Kerry,Unknown,In another way,0,N
2023,Kerry,Unknown,Unknown,0,N
2023,Limerick,Under 18,Male,0,N
2023,Limerick,Under 18,Female,0,N
2023,Limerick,Under 18,Non-binary,0,N
2023,Limerick,Under 18,In another way,0,N
2023,Limerick,Under 18,Unknown,0,N
2023,Limerick,18 to 24 years,Male,10,N
2023,Limerick,18 to 24 years,Female,6,N
2023,Limerick,18 to 24 years,Non-binary,0,Y
2023,Limerick,18 to 24 years,In another way,0,N
2023,Limerick,18 to 24 years,Unknown,0,N
2023,Limerick,25 to 34 years,Male,58,N
2023,Limerick,25 to 34 years,Female,39,N
2023,Limerick,25 to 34 years,Non-binary,0,N
2023,Limerick,25 to 34 years,In another way,0,N
2023,Limerick,25 to 34 years,Unknown,0,N
2023,Limerick,35 to 44 years,Male,68,N
2023,Limerick,35 to 44 years,Female,36,N
2023,Limerick,35 to 44 years,Non-binary,0,N
2023,Limerick,35 to 44 years,In another way,0,N
2023,Limerick,35 to 44 years,Unknown,0,N
2023,Limerick,45 to 64 years,Male,67,N
2023,Limerick,45 to 64 years,Female,53,N
2023,Limerick,45 to 64 years,Non-binary,0,N
2023,Limerick,45 to 64 years,In another way,0,N
2023,Limerick,45 to 64 years,Unknown,0,N
2023,Limerick,65 years or over,Male,9,N
2023,Limerick,65 years or over,Female,8,N
2023,Limerick,65 years or over,Non-binary,0,N
2023,Limerick,65 years or over,In another way,0,N
2023,Limerick,65 years or over,Unknown,0,N
2023,Limerick,Unknown,Male,0,N
2023,Limerick,Unknown,Female,0,N
2023,Limerick,Unknown,Non-binary,0,N
2023,Limerick,Unknown,In another way,0,N
2023,Limerick,Unknown,Unknown,0,N
